"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","Access Log","communityBoardID","isDeleted","Policy Area","Need Group","Agency","Type","Need","Request","Dropdown Combinations","Dropdown Logic","Budget Request Title Please give your budget request a short and recognizable title that will allow it to be readily identified (ex. PS 41 Amenity Upgrade)","Continued Support:Please check the box below if you'd like to mark this request for Continued Support","Budget Request - Continued Support Checkbox Visibility","Explanation","Is this request specific to a particular site, location, or facility?","Address:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Site or Facility Name:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Facility Name:Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Cross-Street 1 (for Street Segment):Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","Cross-Street 2 (for Street Segment):Request Location (complete all that apply) For addresses, please select an option from the Address Search drop down where possible.","address-search.js","On Street (Enter Street Name):Complete the following if your request is for a street segment","Cross Street 1:Complete the following if your request is for a street segment","Cross Street 2:Complete the following if your request is for a street segment","Side of Street (if only one-side):Complete the following if your request is for a street segment","Street Name:Complete the following if your request is for an intersection","Intersection - Street 1:Complete the following if your request is for an intersection","Intersection - Street 2:Complete the following if your request is for an intersection","Compass Direction (if streets intersect twice):Complete the following if your request is for an intersection","Supporter 1","Supporter 2","1:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","2:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","3:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","4:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","5:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","6:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","7:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","8:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","9:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","10:Would you like to upload any supporting documentation? (Up to 2 files, max. file size: 500KB)","previousFYAgencyResponse","previousFYAgencyCategoryResponse","currentFYAgencyResponse","currentFYAgencyCategoryResponse","previousFYRanking","currentFYRanking","Previous Year ID","Current Year ID"
"3962","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171204_66c4c3c4e93786.06421815","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","","","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","","","Fund construction of a Soccer Field in St. Mary's Park.    Due to the increase of a population that plays soccer, there is  a need for additional field capacity for this sport.","Yes","ST MARY'S PARK, Bronx, NY, USA","St. Mary's Park","","","","","","","","","","","","","","","","","","","","","","","","","Contact the Community Board Unit at OMB for information regarding this request.","This request requires further study","","","6","","101202506C","7531899-3962-2026-BX1-C"
"3963","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:26:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171209_66c4c3c9e77748.22123476","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Health Care and Human Services","Needs for Health Care and Facilities","Department of Health and Mental Hygiene (DOHMH)","Expense","Programs to address HIV/AIDS or other infectious diseases","Provide more information and services related to STIs, HIV/AIDS, and family planning","","","Provide more information and services related to STIs, HIV/AIDS, and family planning","","","Add funds for AIDS Education, Teenage Pregnancy and Infant Mortality Programs in CD 1.    More of these programs are needed to reach out to our Elementary and High School students as well as to the youth in our Community District.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","DOHMH has a variety of HIV programs, with a special focus on men who have sex with men; transgender women who have sex with men; blacks; Latinos; and people struggling with substance abuse.  We will review and assess the request for additional programming, which would be contingent upon availability of funds.","The agency agrees with this request, but funding cannot be determined at this time","","","6","","101202506E","7531899-3963-2026-BX1-E"
"3964","Aug 20, 2024 12:26:00 pm","Aug 20, 2024 12:27:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171214_66c4c3cee948c0.96778093","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","","","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","","","Upgrade the existing outdoor playground at PS 65. The current facility is in deteriorating condition.","Yes","PS 65 MOTHER HALE ACADEMY, Bronx, NY, USA","Ps 65 Mother Hale Academy","","","","","","","","","","","","","","","","","","","","","","","","","This property is not under Parks' jurisdiction. Please contact the appropriate agency.","This request requires further study","","","7","","101202507C","7531899-3964-2026-BX1-C"
"3965","Aug 20, 2024 12:27:00 pm","Aug 20, 2024 12:29:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171279_66c4c40fe6d247.71466537","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park programming","Improve the quality/staffing of existing programs offered in parks or recreational centers","","","Improve the quality/staffing of existing programs offered in parks or recreational centers","","","Continue funding 18 permanent staff at St. Mary's Recreational Center.    This newly renovated center requires permanent staffing to maintain and provide services to our youth as well as our adult population.","Yes","","St. Mary's Recreational Center","","","","","","","","","","","","","","","","","","","","","","","","","The Parks Department would support this request for personnel.","This request has already been funded.","","","7","","101202507E","7531899-3965-2026-BX1-E"
"3966","Aug 20, 2024 12:29:00 pm","Aug 20, 2024 12:31:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171399_66c4c487e6c792.80723067","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","","","Provide Funding for the Green Thumb Gardens in the District. To provide all the gardens in CB1 with on-site running water, electricity, modern fencing as well as clean soil, lumber, and other materials needed to operate a functioning garden. (Previous Tracking No: 101201602C)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","Parks Department funds are insufficient for this purpose. We recommend this request be brought to the attention of your Council Members.","The agency supports this request, but funding is not available at this time","","","8","","101202508C","7531899-3966-2026-BX1-C"
"3967","Aug 20, 2024 12:31:00 pm","Aug 20, 2024 12:33:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171519_66c4c4ffe61ff4.07578037","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Health Care and Human Services","Needs for Health Care and Facilities","Department of Health and Mental Hygiene (DOHMH)","Expense","Animal and pest control services","Animal and pest control requests including reducing rat and mosquito populations","","","Animal and pest control requests including reducing rat and mosquito populations","","","Increase funding for Pest Control in CD 1.    These are vacant lots infested with rodents and insects in CD 1.  In order to provide adequate service, funds are needed to purchase rodenticide and warning posters.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","The agency will try to accommodate this issue within existing resources.","The agency supports this request, but funding is not available at this time","","","8","","101202508E","7531899-3967-2026-BX1-E"
"3968","Aug 20, 2024 12:33:00 pm","Aug 20, 2024 12:35:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171639_66c4c577e739e0.58094033","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","","","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","","","Develop a Waterfront Public Access Park. The development of a street and a public access waterfront park, on a section of the Harlem River waterfront, will provide a constructive development of this area for recreational and waterborne transportation services. (Previous Tracking Code: 101200801C)","Yes","","Harlem River Waterfront","","","","","","","","","","","","","New Yorkers For Parks","","","","","","","","","","","","This project is currently in design.","This request has already been funded.","","","9","","101202509C","7531899-3968-2026-BX1-C"
"3969","Aug 20, 2024 12:35:00 pm","Aug 20, 2024 12:37:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171759_66c4c5efe6f4e2.57211459","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park maintenance and safety","Other expense budget request for DPR","","","Other expense budget request for DPR","","","Vehicles to replace aging fleet.  The Parks Department relies o vehicles that are constantly out of service and over five-years old.  Parks also needs to service larger parks with smaller, safer and more efficient small utility vehicles.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","Department of Parks and Recreation funds are insufficient for this project. We recommend this project be brought to the attention of your elected officials, i.e. Borough President and/or City Council member.","The agency supports this request, but funding is not available at this time","","","9","","101202509E","7531899-3969-2026-BX1-E"
"3970","Aug 20, 2024 12:37:00 pm","Aug 20, 2024 12:39:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171879_66c4c667e68470.66630688","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Youth, Education, and Child Welfare","Needs for Youth Education","School Construction Authority","Capital","Schools and educational facilities","Renovate or upgrade an elementary school","","","Renovate or upgrade an elementary school","","","Funding for the creation of a library/media room at PS 5 where the children can do homework, study and learn.  Funding for cameras at the front entrance and School Safety Agents for the protection of the children.","Yes","564 JACKSON AVENUE, Bronx, NY, USA","PS 5","","","","","","","","","","","","","","","","","","","","","","","","","Unable to prioritize funding for this project request at this time.","The agency does not/cannot give priority to funding this request","","","10","","101202510C","7531899-3970-2026-BX1-C"
"3971","Aug 20, 2024 12:39:00 pm","Aug 20, 2024 12:41:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724171999_66c4c6dfe63945.07162211","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Expense","Park maintenance and safety","Enhance park safety through more security staff (police or parks enforcement)","","","Enhance park safety through more security staff (police or parks enforcement)","","","Syringe Removal Program needs more funding to remove syringes more quickly. In order to address conditions more quickly, additional support including staff and and supplies for the Syringe Removal Program such as syringe collection kiosks, sharps collection containers for district crews and PEP Officers, puncture resistant gloves and other equipment are needed.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","The Parks Department would support this request for personnel.","The agency supports this request, but funding is not available at this time","","","10","","101202510E","7531899-3971-2026-BX1-E"
"3972","Aug 20, 2024 12:41:00 pm","Aug 20, 2024 12:43:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724172119_66c4c757e686c1.32182589","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Library Services","New York Public Library (NYPL)","Capital","Library facilities, equipment and programs","Other capital budget request for NYPL","","","Other capital budget request for NYPL","","","Increased capital funding and the inclusion of libraries in the city's ten-year capital plan.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","NYPL is in favor of this project but added or restored City funding is required for all expense budget costs and any needed capital costs.  NYPL will continue to work through the City's budget process for needed funding. Contact NYPL for more information.","The agency agrees with this request, but funding cannot be determined at this time","","","11","","101202511C","7531899-3972-2026-BX1-C"
"3973","Aug 20, 2024 12:43:00 pm","Aug 20, 2024 12:45:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724172239_66c4c7cfe71c73.26500845","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Core Infrastructure, City Services, and Resiliency","Needs for Sanitation Services","Department of Sanitation (DSNY)","Expense","Garbage collection and recycling","Provide more on-street trash cans and recycling containers","","","Provide more on-street trash cans and recycling containers","","","Provide more on-street trash cans and recycling containers throughout the district","No","","","","","","","","","","","","","","","","","","","","","","","","","","","The Bureau of Community Affairs (BCA) includes our Community Liaison Unit which works with community boards, elected officials and community groups/organizations to promote DSNY programs, services, and proper practices.  The Community Board may contact BCA at 646-885-4503 with any concerns.","The agency requires additional information from the community board regarding this request","","","11","","101202511E","7531899-3973-2026-BX1-E"
"3974","Aug 20, 2024 12:45:00 pm","Aug 20, 2024 12:47:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724172359_66c4c847e70076.06401964","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Library Services","New York Public Library (NYPL)","Capital","Library facilities, equipment and programs","Other capital budget request for NYPL","","","Other capital budget request for NYPL","","","Increased expense funding, so libraries in every neighborhood can help rebuild a more equitable New York, including technology access for families in all libraries. ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","NYPL is in favor of this project but added or restored City funding is required for all expense budget costs and any needed capital costs.  NYPL will continue to work through the City's budget process for needed funding. Contact NYPL for more information.","The agency agrees with this request, but funding cannot be determined at this time","","","12","","101202512C","7531899-3974-2026-BX1-C"
"3975","Aug 20, 2024 12:47:00 pm","Aug 20, 2024 12:49:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724172479_66c4c8bfe6e5b2.92370108","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Core Infrastructure, City Services, and Resiliency","Needs for Sanitation Services","Department of Sanitation (DSNY)","Expense","Garbage collection and recycling","Other garbage collection and recycling requests","","","Other garbage collection and recycling requests","","","Maintaining and increasing the Mobilized Litter Patrol (MLP) service, they address illegal drop-off and dump-out conditions.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","This program is currently funded and the Department of Sanitation recommends its continued support.","The agency agrees with this request, but funding cannot be determined at this time","","","12","","101202512E","7531899-3975-2026-BX1-E"
"3976","Aug 20, 2024 12:49:00 pm","Aug 20, 2024 12:51:00 pm","Complete","","","","English","https://survey.alchemer.com/s3/7531899/Community-Board-Budget-Request?snc=1724164425_66c4a9493dfbc7.40515300&ssoconfirmation=QVBJam0xWk1pRmhJa3hWOXhMMEtZOHJDM0FnUFQwMHc0NEF6eGJjbGlpUWpXdVdaalVxVUE4c3lWb09wZUJzM2N%2BaDhjU3hkZnVYUVJjbTJKOHdLZFF2NzhfYm5nb0hJUWt2M0xsN1hMVENiVElidFFVdno5cl9xaHJEMHlTT2szVXU3eHRGZkRERDdzNWNfdUlyWlpVOG9kTDRHWUtURmMzTjRLZVQ5MXJzLA%3D%3D","1724172599_66c4c937e6ab96.31671337","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","","108.29.51.210","-73.95020294","40.78089905","United States","New York","NY","10128","","BX1","","Parks, Cultural, and Other Community Facilities","Needs for Parks","Department of Parks and Recreation (DPR)","Capital","Park maintenance and safety","Enhance park safety through design interventions, e.g. better lighting","","","Enhance park safety through design interventions, e.g. better lighting","","","At St. Mary's Park, policing is required to ensure that the park is not utilized for drug distribution use.","No","","","","","","","","","","","","","","","","","","","","","","","","","","","Further study by the agency of this request is needed.","This request requires further study","","","13","","101202513C","7531899-3976-2026-BX1-C"
